id,year,category,nominee,artist
1149,2010,Best Large Jazz Ensemble Album,Mingus Big Band Live At Jazz Standard,Mingus Big Band
1150,2010,Best Latin Jazz Album,Chucho's Steps,Chucho Valdés And The Afro-Cuban Messengers
1151,2010,Best Gospel Performance,Grace,BeBe & CeCe Winans
1153,2010,Best Rock Or Rap Gospel Album,Hello Hurricane,Switchfoot
1154,2010,Best Pop/Contemporary Gospel Album,Love God. Love People.,Israel Houghton
1155,2010,"Best Southern, Country, Or Bluegrass Gospel Album",The Reason,Diamond Rio
1156,2010,Best Traditional Gospel Album,Downtown Church,Patty Griffin
1157,2010,Best Contemporary R&B Gospel Album,Still,BeBe & CeCe Winans
1158,2010,Best Latin Pop Album,Paraiso Express,Alejandro Sanz
1159,2010,"Best Latin Rock, Alternative Or Urban Album",El Existential,Grupo Fantasma
1160,2010,Best Tropical Latin Album,Viva La Tradición,Spanish Harlem Orchestra
1161,2010,Best Tejano Album,Recuerdos,Little Joe & La Familia
1162,2010,Best Norteño Album,Classic,Intocable
1163,2010,Best Banda Album,Enamórate De Mí,El Güero Y Su Banda Centanario
3175,1989,Best Country Instrumental Performance,Amazing Grace,Randy Scruggs
1164,2010,Best Americana Album,You Are Not Alone,Mavis Staples
1165,2010,Best Bluegrass Album,Mountain Soul II,Patty Loveless
1166,2010,Best Traditional Blues Album,Joined At The Hip,Pinetop Perkins & Willie 'Big Eyes' Smith
1167,2010,Best Contemporary Blues Album,Living Proof,Buddy Guy
1168,2010,Best Traditional Folk Album,Genuine Negro Jig,Carolina Chocolate Drops
1169,2010,Best Contemporary Folk Album,God Willin' & The Creek Don't Rise,Ray LaMontagne And The Pariah Dogs
1170,2010,Best Hawaiian Music Album,Huana Ke Aloha,Tia Carrere
1171,2010,Best Native American Music Album,2010 Gathering Of Nations Pow Wow: A Spirit's Dance,(Various Artists)
1172,2010,Best Zydeco Or Cajun Music Album,Zydeco Junkie,Chubby Carrier And The Bayou Swamp Band
1173,2010,Best Reggae Album,Before The Dawn,Buju Banton
1174,2010,Best Traditional World Music Album,Ali And Toumani,Ali Farka Touré & Toumani Diabaté
1175,2010,Best Contemporary World Music Album,"Throw Down Your Heart , Africa Sessions Part 2: Unreleased Tracks",Béla Fleck
1176,2010,Best Musical Album For Children,Tomorrow's Children,Pete Seeger With The Rivertown Kids And Friends
1177,2010,Best Spoken Word Album For Children,"Julie Andrews' Collection Of Poems, Songs, And Lullabies",Julie Andrews & Emma Walton Hamilton
1178,2010,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",The Daily Show With Jon Stewart Presents Earth (The Audiobook),"Jon Stewart (With  Samantha Bee, Wyatt Cenac, Jason Jones, John Oliver & Sigourney Weaver)"
1179,2010,Best Comedy Album,Stark Raving Black,Lewis Black
1181,2010,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",Crazy Heart,(Various Artists)
1183,2010,"Best Song Written For Motion Picture, Television Or Other Visual Media",The Weary Kind (From Crazy Heart),"Ryan Bingham & T Bone Burnett, songwriters (Ryan Bingham)"
1208,2010,Best Classical Crossover Album,"Tin, Christopher: Calling All Dawns","Lucas Richman, Various Artists & The Royal Philharmonic Orchestra"
1209,2010,Best Short Form Music Video,Bad Romance,Lady Gaga
1210,2010,Best Long Form Music Video,When You're Strange,(The Doors)
1211,2009,Record Of The Year,Use Somebody,Kings Of Leon
1212,2009,Album Of The Year,Fearless,Taylor Swift
1215,2009,Best Female Pop Vocal Performance,Halo,Beyoncé
1216,2009,Best Male Pop Vocal Performance,Make It Mine,Jason Mraz
1217,2009,Best Pop Performance By A Duo Or Group With Vocals,I Gotta Feeling,The Black Eyed Peas
1218,2009,Best Pop Collaboration With Vocals,Lucky,Jason Mraz & Colbie Caillat
1219,2009,Best Pop Instrumental Performance,Throw Down Your Heart,Béla Fleck
1220,2009,Best Pop Instrumental Album,Potato Hole,Booker T. Jones
1221,2009,Best Pop Vocal Album,The E.N.D.,The Black Eyed Peas
1222,2009,Best Dance Recording,Poker Face,Lady Gaga
1223,2009,Best Electronic/Dance Album,The Fame,Lady Gaga
1224,2009,Best Traditional Pop Vocal Album,Michael Bublé Meets Madison Square Garden,Michael Bublé
1225,2009,Best Solo Rock Vocal Performance,Working On A Dream,Bruce Springsteen
1226,2009,Best Rock Performance By A Duo Or Group With Vocals,Use Somebody,Kings Of Leon
1227,2009,Best Hard Rock Performance,War Machine,AC/DC
1228,2009,Best Metal Performance,Dissident Aggressor,Judas Priest
1229,2009,Best Rock Instrumental Performance,A Day In The Life,Jeff Beck
1231,2009,Best Rock Album,21st Century Breakdown,Green Day
1232,2009,Best Alternative Music Album,Wolfgang Amadeus Phoenix,Phoenix
1233,2009,Best Female R&B Vocal Performance,Single Ladies (Put A Ring On It),Beyoncé
1234,2009,Best Male R&B Vocal Performance,Pretty Wings,Maxwell
1235,2009,Best R&B Performance By A Duo Or Group With Vocals,Blame It,Jamie Foxx & T-Pain
1236,2009,Best Traditional R&B Vocal Performance,At Last,Beyoncé
1237,2009,Best Urban/Alternative Performance,Pearls,India.Arie & Dobet Gnahore
1239,2009,Best R&B Album,Blacksummers' Night,Maxwell
1240,2009,Best Contemporary R&B Album,I Am... Sasha Fierce,Beyoncé
1241,2009,Best Rap Solo Performance,D.O.A. (Death Of Auto-Tune),Jay-Z
1242,2009,Best Rap Performance By A Duo Or Group,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent"
1243,2009,Best Rap/Sung Collaboration,Run This Town,"Jay-Z, Rihanna & Kanye West"
1245,2009,Best Rap Album,Relapse,Eminem
1246,2009,Best Female Country Vocal Performance,White Horse,Taylor Swift
1247,2009,Best Male Country Vocal Performance,Sweet Thing,Keith Urban
1248,2009,Best Country Performance By A Duo Or Group With Vocals,I Run To You,Lady Antebellum
1249,2009,Best Country Collaboration With Vocals,I Told You So,Carrie Underwood & Randy Travis
1250,2009,Best Country Instrumental Performance,Producer's Medley,Steve Wariner
1252,2009,Best Country Album,Fearless,Taylor Swift
1253,2009,Best New Age Album,Prayer For Compassion,David Darling
1254,2009,Best Contemporary Jazz Album,75,Joe Zawinul & The Zawinul Syndicate
1255,2009,Best Jazz Vocal Album,Dedicated To You: Kurt Elling Sings The Music Of Coltrane And Hartman,Kurt Elling
1257,2009,"Best Jazz Instrumental Album, Individual or Group",Five Peace Band - Live,Chick Corea & John McLaughlin Five Peace Band
1258,2009,Best Large Jazz Ensemble Album,Book One,New Orleans Jazz Orchestra
1259,2009,Best Latin Jazz Album,Juntos Para Siempre,Bebo Valdés And Chucho Valdés
1260,2009,Best Gospel Performance,Wait On The Lord,Donnie McClurkin Featuring Karen Clark Sheard
1262,2009,Best Rock Or Rap Gospel Album,Live Revelations,Third Day
1263,2009,Best Pop/Contemporary Gospel Album,The Power Of One,Israel Houghton
1264,2009,"Best Southern, Country, Or Bluegrass Gospel Album",Jason Crabb,Jason Crabb
1265,2009,Best Traditional Gospel Album,Oh Happy Day,(Various Artists)
1266,2009,Best Contemporary R&B Gospel Album,Audience Of One,Heather Headley
1267,2009,Best Latin Pop Album,Sin Frenos,La Quinta Estación
1268,2009,"Best Latin Rock, Alternative Or Urban Album",Los De Atras Vienen Conmigo,Calle 13
1269,2009,Best Tropical Latin Album,Ciclos,Luis Enrique
1270,2009,Best Regional Mexican Album,Necesito De Ti,Vicente Fernández
1271,2009,Best Tejano Album,Borders Y Bailes,Los Texmaniacs
1272,2009,Best Norteño Album,Tu Noche Con...Los Tigres Del Norte,Los Tigres Del Norte
1273,2009,Best Banda Album,Tu Esclavo Y Amo,Lupillo Rivera
1274,2009,Best Americana Album,Electric Dirt,Levon Helm
1275,2009,Best Bluegrass Album,The Crow: New Songs For The Five-String Banjo,Steve Martin
1276,2009,Best Traditional Blues Album,A Stranger Here,Ramblin' Jack Elliott
1277,2009,Best Contemporary Blues Album,Already Free,The Derek Trucks Band
1278,2009,Best Traditional Folk Album,High Wide & Handsome: The Charlie Poole Project,Loudon Wainwright III
1279,2009,Best Contemporary Folk Album,Townes,Steve Earle
1280,2009,Best Hawaiian Music Album,"Masters Of Hawaiian Slack Key Guitar, Volume 2",(Various Artists)
1281,2009,Best Native American Music Album,Spirit Wind North,Bill Miller
1282,2009,Best Zydeco Or Cajun Music Album,Lay Your Burden Down,Buckwheat Zydeco
1283,2009,Best Reggae Album,Mind Control - Acoustic,Stephen Marley
1284,2009,Best Traditional World Music Album,Douga Mansa,Mamadou Diabate
1285,2009,Best Contemporary World Music Album,"Throw Down Your Heart: Tales From The Acoustic Planet, Vol. 3 - Africa Sessions",Béla Fleck
1286,2009,Best Musical Album For Children,Family Time,Ziggy Marley
1287,2009,Best Spoken Word Album For Children,"Aaaaah! Spooky, Scary Stories & Songs",Buck Howdy
1288,2009,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",Always Looking Up,Michael J. Fox
1289,2009,Best Comedy Album,A Colbert Christmas: The Greatest Gift Of All!,Stephen Colbert
1291,2009,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",Slumdog Millionaire,(Various Artists)
1293,2009,"Best Song Written For Motion Picture, Television Or Other Visual Media",Jai Ho (From Slumdog Millionaire),"Gulzar, A.R. Rahman & Tanvi Shah, songwriters (A.R. Rahman, Sukhvinder Singh, Tanvi Shah, Mahalaxmi Iyer & Vijay Prakash)"
1317,2009,Best Classical Crossover Album,Yo-Yo Ma & Friends: Songs Of Joy And Peace,Yo-Yo Ma & Various Artists
1318,2009,Best Short Form Music Video,Boom Boom Pow,The Black Eyed Peas
1319,2009,Best Long Form Music Video,The Beatles Love - All Together Now,(Various Artists)
1320,2008,Record Of The Year,Please Read The Letter,Robert Plant & Alison Krauss
1321,2008,Album Of The Year,Raising Sand,Robert Plant & Alison Krauss
1324,2008,Best Female Pop Vocal Performance,Chasing Pavements,Adele
1325,2008,Best Male Pop Vocal Performance,Say,John Mayer
1326,2008,Best Pop Performance By A Duo Or Group With Vocals,Viva La Vida,Coldplay
1327,2008,Best Pop Collaboration With Vocals,Rich Woman,Robert Plant & Alison Krauss
1328,2008,Best Pop Instrumental Performance,I Dreamed There Was No War,Eagles
1329,2008,Best Pop Instrumental Album,Jingle All The Way,Béla Fleck & The Flecktones
1330,2008,Best Pop Vocal Album,Rockferry,Duffy
1331,2008,Best Dance Recording,Harder Better Faster Stronger,Daft Punk
1332,2008,Best Electronic/Dance Album,Alive 2007,Daft Punk
1333,2008,Best Traditional Pop Vocal Album,Still Unforgettable,Natalie Cole
1334,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer
1335,2008,Best Rock Performance By A Duo Or Group With Vocals,Sex On Fire,Kings Of Leon
1336,2008,Best Hard Rock Performance,Wax Simulacra,The Mars Volta
1337,2008,Best Metal Performance,My Apocalypse,Metallica
1338,2008,Best Rock Instrumental Performance,Peaches En Regalia,Zappa Plays Zappa Featuring Steve Vai & Napoleon Murphy Brock
1340,2008,Best Rock Album,Viva La Vida Or Death And All His Friends,Coldplay
1341,2008,Best Alternative Music Album,In Rainbows,Radiohead
1342,2008,Best Female R&B Vocal Performance,Superwoman,Alicia Keys
1343,2008,Best Male R&B Vocal Performance,Miss Independent,Ne-Yo
1344,2008,Best R&B Performance By A Duo Or Group With Vocals,Stay With Me (By The Sea),Al Green Featuring John Legend
1345,2008,Best Traditional R&B Vocal Performance,You've Got The Love I Need,Al Green Featuring Anthony Hamilton
1346,2008,Best Urban/Alternative Performance,Be OK,Chrisette Michele Featuring will.i.am
1348,2008,Best R&B Album,Jennifer Hudson,Jennifer Hudson
1349,2008,Best Contemporary R&B Album,Growing Pains,Mary J. Blige
1350,2008,Best Rap Solo Performance,A Milli,Lil Wayne
1351,2008,Best Rap Performance By A Duo Or Group,Swagga Like Us,Jay-Z & T.I. Featuring Kanye West & Lil Wayne
1352,2008,Best Rap/Sung Collaboration,American Boy,Estelle Featuring Kanye West
1354,2008,Best Rap Album,Tha Carter III,Lil Wayne
1355,2008,Best Female Country Vocal Performance,Last Name,Carrie Underwood
1356,2008,Best Male Country Vocal Performance,Letter To Me,Brad Paisley
1357,2008,Best Country Performance By A Duo Or Group With Vocals,Stay,Sugarland
1358,2008,Best Country Collaboration With Vocals,Killing The Blues,Robert Plant & Alison Krauss
1359,2008,Best Country Instrumental Performance,Cluster Pluck,"Brad Paisley, James Burton, Vince Gill, John Jorgenson, Albert Lee, Brent Mason, Redd Volkaert & Steve Wariner"
1361,2008,Best Country Album,Troubadour,George Strait
1362,2008,Best Bluegrass Album,Honoring The Fathers Of Bluegrass: Tribute To 1946 And 1947,Ricky Skaggs & Kentucky Thunder
1363,2008,Best New Age Album,Peace Time,Jack DeJohnette
1364,2008,Best Contemporary Jazz Album,Randy In Brasil,Randy Brecker
1365,2008,Best Jazz Vocal Album,Loverly,Cassandra Wilson
1367,2008,"Best Jazz Instrumental Album, Individual or Group",The New Crystal Silence,Chick Corea & Gary Burton
1368,2008,Best Large Jazz Ensemble Album,Monday Night Live At The Village Vanguard,The Vanguard Jazz Orchestra
1369,2008,Best Latin Jazz Album,Song For Chico,Arturo O'Farrill & The Afro-Latin Jazz Orchestra
1370,2008,Best Gospel Performance,Get Up,Mary Mary
1372,2008,Best Rock Or Rap Gospel Album,Alive And Transported,TobyMac
1373,2008,Best Pop/Contemporary Gospel Album,Thy Kingdom Come,CeCe Winans
1374,2008,"Best Southern, Country, Or Bluegrass Gospel Album",Lovin' Life,Gaither Vocal Band
1375,2008,Best Traditional Gospel Album,Down In New Orleans,The Blind Boys Of Alabama
1399,2008,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",An Inconvenient Truth (Al Gore),"Beau Bridges, Cynthia Nixon & Blair Underwood"
1376,2008,Best Contemporary R&B Gospel Album,The Fight Of My Life,Kirk Franklin
1377,2008,Best Latin Pop Album,La Vida...Es Un Ratico,Juanes
1378,2008,Best Latin Rock Or Alternative Album,45,Jaguares
1379,2008,Best Latin Urban Album,Los Extraterrestres,Wisin y Yandel
1380,2008,Best Tropical Latin Album,Señor Bachata,José Feliciano
1381,2008,Best Regional Mexican Album,"Amor, Dolor Y Lágrimas: Música Ranchera",Mariachi Los Camperos de Nati Cano
1382,2008,Best Regional Mexican Album,Canciones De Amor,Mariachi Divas
1383,2008,Best Tejano Album,Viva La Revolucion,Ruben Ramos & The Mexican Revolution
1384,2008,Best Norteño Album,Raíces,Los Tigres Del Norte
1385,2008,Best Banda Album,No Es De Madera,Joan Sebástian
1386,2008,Best Traditional Blues Album,One Kind Favor,B.B. King
1387,2008,Best Contemporary Blues Album,City That Care Forgot,Dr. John And The Lower 911
1388,2008,Best Traditional Folk Album,At 89,Pete Seeger
1389,2008,Best Contemporary Folk/Americana Album,Raising Sand,Robert Plant & Alison Krauss
1390,2008,Best Native American Music Album,Come To Me Great Mystery - Native American Healing Songs,(Various Artists)
1391,2008,Best Hawaiian Music Album,Ikena,Tia Carrere & Daniel Ho
1392,2008,Best Zydeco Or Cajun Music Album,Live At The 2008 New Orleans Jazz & Heritage Festival,BeauSoleil & Michael Doucet
1393,2008,Best Reggae Album,Jah Is Real,Burning Spear
1394,2008,Best Traditional World Music Album,Ilembe: Honoring Shaka Zulu,Ladysmith Black Mambazo
1395,2008,Best Contemporary World Music Album,Global Drum Project,"Mickey Hart, Zakir Hussain, Sikiru Adepoju & Giovanni Hidalgo"
1396,2008,Best Polka Album,Let The Whole World Sing,Jimmy Sturr And His Orchestra
1397,2008,Best Musical Album For Children,Here Come The 123s,They Might Be Giants
1400,2008,Best Comedy Album,It's Bad For Ya,George Carlin
1402,2008,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",Juno,(Various Artists)
1404,2008,"Best Song Written For Motion Picture, Television Or Other Visual Media",Down To Earth (From Wall-E),"Peter Gabriel & Thomas Newman, songwriters (Peter Gabriel)"
1428,2008,Best Classical Crossover Album,Simple Gifts,The King's Singers
1429,2008,Best Short Form Music Video,Pork And Beans,Weezer
1430,2008,Best Long Form Music Video,Runnin' Down A Dream,Tom Petty & The Heartbreakers
1431,2007,Record Of The Year,Rehab,Amy Winehouse
1432,2007,Album Of The Year,River: The Joni Letters,Herbie Hancock
1435,2007,Best Female Pop Vocal Performance,Rehab,Amy Winehouse
1436,2007,Best Male Pop Vocal Performance,What Goes Around...Comes Around,Justin Timberlake
1437,2007,Best Pop Performance By A Duo Or Group With Vocals,Makes Me Wonder,Maroon 5
1438,2007,Best Pop Collaboration With Vocals,Gone Gone Gone (Done Moved On),Robert Plant & Alison Krauss
1439,2007,Best Pop Instrumental Performance,One Week Last Summer,Joni Mitchell
1440,2007,Best Pop Instrumental Album,The Mix-Up,Beastie Boys
1441,2007,Best Pop Vocal Album,Back To Black,Amy Winehouse
1442,2007,Best Dance Recording,LoveStoned/I Think She Knows,Justin Timberlake
1443,2007,Best Electronic/Dance Album,We Are The Night,The Chemical Brothers
1444,2007,Best Traditional Pop Vocal Album,Call Me Irresponsible,Michael Bublé
1445,2007,Best Solo Rock Vocal Performance,Radio Nowhere,Bruce Springsteen
1446,2007,Best Rock Performance By A Duo Or Group With Vocals,Icky Thump,The White Stripes
1447,2007,Best Hard Rock Performance,The Pretender,Foo Fighters
1448,2007,Best Metal Performance,Final Six,Slayer
1449,2007,Best Rock Instrumental Performance,Once Upon A Time In The West,Bruce Springsteen
1451,2007,Best Rock Album,"Echoes, Silence, Patience & Grace",Foo Fighters
1452,2007,Best Alternative Music Album,Icky Thump,The White Stripes
1453,2007,Best Female R&B Vocal Performance,No One,Alicia Keys
1454,2007,Best Male R&B Vocal Performance,Future Baby Mama,Prince
1455,2007,Best R&B Performance By A Duo Or Group With Vocals,Disrespectful,Chaka Khan Featuring Mary J. Blige
1456,2007,Best Traditional R&B Vocal Performance,In My Songs,Gerald Levert
1457,2007,Best Urban/Alternative Performance,Daydreamin',Lupe Fiasco Featuring Jill Scott
1459,2007,Best R&B Album,Funk This,Chaka Khan
1460,2007,Best Contemporary R&B Album,Because Of You,Ne-Yo
1461,2007,Best Rap Solo Performance,Stronger,Kanye West
1462,2007,Best Rap Performance By A Duo Or Group,Southside,Common Featuring Kanye West
1463,2007,Best Rap/Sung Collaboration,Umbrella,Rihanna Featuring Jay-Z
1465,2007,Best Rap Album,Graduation,Kanye West
1466,2007,Best Female Country Vocal Performance,Before He Cheats,Carrie Underwood
1467,2007,Best Male Country Vocal Performance,Stupid Boy,Keith Urban
1468,2007,Best Country Performance By A Duo Or Group With Vocals,How Long,Eagles
1469,2007,Best Country Collaboration With Vocals,Lost Highway,Willie Nelson & Ray Price
1470,2007,Best Country Instrumental Performance,Throttleneck,Brad Paisley
1472,2007,Best Country Album,These Days,Vince Gill
1473,2007,Best Bluegrass Album,The Bluegrass Diaries,Jim Lauderdale
1474,2007,Best New Age Album,Crestone,Paul Winter Consort
1475,2007,Best Contemporary Jazz Album,River: The Joni Letters,Herbie Hancock
1476,2007,Best Jazz Vocal Album,Avant Gershwin,Patti Austin
1478,2007,"Best Jazz Instrumental Album, Individual or Group",Pilgrimage,Michael Brecker
1479,2007,Best Large Jazz Ensemble Album,A Tale Of God's Will (A Requiem For Katrina),Terence Blanchard
1480,2007,Best Latin Jazz Album,Funk Tango,Paquito D'Rivera Quintet?
1481,2007,Best Gospel Performance,Blessed & Highly Favored,The Clark Sisters
1482,2007,Best Gospel Performance,Never Gonna Break My Faith,Aretha Franklin & Mary J. Blige (Featuring The Harlem Boys Choir)
1484,2007,Best Rock Or Rap Gospel Album,Before The Daylight's Shot,Ashley Cleveland
1485,2007,Best Pop/Contemporary Gospel Album,A Deeper Level,Israel And New Breed
1486,2007,"Best Southern, Country, Or Bluegrass Gospel Album",Salt Of The Earth,Ricky Skaggs & The Whites
1487,2007,Best Traditional Gospel Album,Live - One Last Time,The Clark Sisters
1488,2007,Best Contemporary R&B Gospel Album,Free To Worship,Fred Hammond
1489,2007,Best Latin Pop Album,El Tren De Los Momentos,Alejandro Sanz
1490,2007,Best Latin Rock Or Alternative Album,No Hay Espacio,Black:Guayaba
1491,2007,Best Latin Urban Album,Residente O Visitante,Calle 13
1492,2007,Best Tropical Latin Album,La Llave De Mi Corazón,Juan Luis Guerra
1493,2007,Best Mexican/Mexican-American Album,100% Mexicano,Pepe Aguilar
1494,2007,Best Tejano Album,Before The Next Teardrop Falls,Little Joe & La Familia
1495,2007,Best Norteño Album,Detalles Y Emociones,Los Tigres Del Norte
1496,2007,Best Banda Album,Te Va A Gustar,El Chapo
1497,2007,Best Traditional Blues Album,Last Of The Great Mississippi Delta Bluesmen: Live In Dallas,"Henry James Townsend, Joe Willie ""Pinetop"" Perkins, Robert Lockwood, Jr. & David ""Honeyboy"" Edwards"
1498,2007,Best Contemporary Blues Album,The Road To Escondido,JJ Cale & Eric Clapton
1499,2007,Best Traditional Folk Album,Dirt Farmer,Levon Helm
1500,2007,Best Contemporary Folk/Americana Album,Washington Square Serenade,Steve Earle
1501,2007,Best Native American Music Album,Totemic Flute Chants,Johnny Whitehorse
1502,2007,Best Hawaiian Music Album,Treasures Of Hawaiian Slack Key Guitar,(Various Artists)
1503,2007,Best Zydeco Or Cajun Music Album,Live! Worldwide,Terrance Simien & The Zydeco Experience
1504,2007,Best Reggae Album,Mind Control,Stephen Marley
1505,2007,Best Traditional World Music Album,African Spirit,Soweto Gospel Choir
1506,2007,Best Contemporary World Music Album,Djin Djin,Angelique Kidjo
1507,2007,Best Polka Album,Come Share The Wine,Jimmy Sturr And His Orchestra
1508,2007,Best Musical Album For Children,A Green And Red Christmas,The Muppets
1509,2007,Best Spoken Word Album For Children,Harry Potter And The Deathly Hallows,Jim Dale
1510,2007,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",The Audacity Of Hope: Thoughts On Reclaiming The American Dream,Barack Obama
1511,2007,Best Comedy Album,The Distant Future,Flight Of The Conchords
1513,2007,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",Love,(The Beatles)
1515,2007,"Best Song Written For Motion Picture, Television Or Other Visual Media",Love You I Do (From Dreamgirls),"Siedah Garrett & Henry Krieger, songwriters (Jennifer Hudson)"
1539,2007,Best Classical Crossover Album,A Love Supreme: The Legacy Of John Coltrane,Turtle Island Quartet
1540,2007,Best Short Form Music Video,God's Gonna Cut You Down,Johnny Cash
1541,2007,Best Long Form Music Video,The Confessions Tour,Madonna
1542,2006,Record Of The Year,Not Ready To Make Nice,Dixie Chicks
1543,2006,Album Of The Year,Taking The Long Way,Dixie Chicks
1546,2006,Best Female Pop Vocal Performance,Ain't No Other Man,Christina Aguilera
1547,2006,Best Male Pop Vocal Performance,Waiting On The World To Change,John Mayer
1548,2006,Best Pop Performance By A Duo Or Group With Vocal,My Humps,The Black Eyed Peas
1549,2006,Best Pop Collaboration With Vocals,For Once In My Life,Tony Bennett & Stevie Wonder
1550,2006,Best Pop Instrumental Performance,Mornin',George Benson (& Al Jarreau)
1551,2006,Best Pop Instrumental Album,Fingerprints,Peter Frampton
1552,2006,Best Pop Vocal Album,Continuum,John Mayer
1553,2006,Best Dance Recording,Sexy Back,Justin Timberlake & Timbaland
1554,2006,Best Electronic/Dance Album,Confessions On A Dance Floor,Madonna
1555,2006,Best Traditional Pop Vocal Album,Duets:  An American Classic,Tony Bennett
1556,2006,Best Solo Rock Vocal Performance,Someday Baby,Bob Dylan
1557,2006,Best Rock Performance By A Duo Or Group With Vocal,Dani California,Red Hot Chili Peppers
1558,2006,Best Hard Rock Performance,Woman,Wolfmother
1559,2006,Best Metal Performance,Eyes Of The Insane,Slayer
1560,2006,Best Rock Instrumental Performance,The Wizard Turns On...,The Flaming Lips
1562,2006,Best Rock Album,Stadium Arcadium,Red Hot Chili Peppers
1563,2006,Best Alternative Music Album,St. Elsewhere,Gnarls Barkley
1564,2006,Best Female R&B Vocal Performance,Be Without You,Mary J. Blige
1565,2006,Best Male R&B Vocal Performance,Heaven,John Legend
1566,2006,Best R&B Performance By A Duo Or Group With Vocals,Family Affair,"(Sly & The Family Stone), John Legend, Joss Stone With Van Hunt"
1567,2006,Best Traditional R&B Vocal Performance,God Bless The Child,George Benson & Al Jarreau Featuring Jill Scott
1568,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley
1836,2004,Best Comedy Album,The Daily Show With Jon Stewart Presents...America: A Citizen's Guide To Democracy Inaction,Jon Stewart And The Cast Of The Daily Show
1570,2006,Best R&B Album,The Breakthrough,Mary J. Blige
1571,2006,Best Contemporary R&B Album,B'Day,Beyoncé
1572,2006,Best Rap Solo Performance,What You Know,T.I.
1573,2006,Best Rap Performance By A Duo Or Group,Ridin,Chamillionaire Featuring Krayzie Bone
1574,2006,Best Rap/Sung Collaboration,My Love,Justin Timberlake Featuring T.I.
1576,2006,Best Rap Album,Release Therapy,Ludacris
1577,2006,Best Female Country Vocal Performance,"Jesus, Take The Wheel",Carrie Underwood
1578,2006,Best Male Country Vocal Performance,The Reason Why,Vince Gill
1579,2006,Best Country Performance By A Duo Or Group With Vocal,Not Ready To Make Nice,Dixie Chicks
1580,2006,Best Country Collaboration With Vocals,Who Says You Can't Go Home,Bon Jovi & Jennifer Nettles
1581,2006,Best Country Instrumental Performance,Whiskey Before Breakfast,Bryan Sutton & Doc Watson
1583,2006,Best Country Album,Taking The Long Way,Dixie Chicks
1584,2006,Best Bluegrass Album,Instrumentals,Ricky Skaggs And Kentucky Thunder
1585,2006,Best New Age Album,Amarantine,Enya
1586,2006,Best Contemporary Jazz Album,The Hidden Land,Béla Fleck & The Flecktones
1587,2006,Best Jazz Vocal Album,Turned To Blue,Nancy Wilson
1589,2006,"Best Jazz Instrumental Album, Individual or Group",The Ultimate Adventure,Chick Corea
1590,2006,Best Large Jazz Ensemble Album,Some Skunk Funk,"Randy Brecker With Michael Brecker, Jim Beard, Will Lee, Peter Erskine, Marcio Doctor & Vince Mendoza conducting The WDR Big Band Köln"
1591,2006,Best Latin Jazz Album,Simpático,The Brian Lynch/Eddie Palmieri Project
1592,2006,Best Gospel Performance,Victory,Yolanda Adams
1594,2006,Best Rock Or Rap Gospel Album,Turn Around,Jonny Lang
1595,2006,Best Pop/Contemporary Gospel Album,Wherever You Are,Third Day
1596,2006,"Best Southern, Country, Or Bluegrass Gospel Album",Glory Train,Randy Travis
1597,2006,Best Traditional Gospel Album,Alive In South Africa,Israel & New Breed
1598,2006,Best Contemporary R&B Gospel Album,Hero,Kirk Franklin
1599,2006,Best Latin Pop Album,Adentro,Arjona
1600,2006,Best Latin Pop Album,Limón Y Sal,Julieta Venegas
1601,2006,"Best Latin Rock, Alternative Or Urban Album",Amar Es Combatir,Maná
1602,2006,Best Tropical Latin Album,Directo Al Corazón,Gilberto Santa Rosa
1603,2006,Best Mexican/Mexican-American Album,Historias De Mi Tierra,Pepe Aguilar
1604,2006,Best Tejano Album,Sigue El Taconazo,Chente Barrera y Taconazo
1605,2006,Best Norteño Album,Historias Que Contar,Los Tigres Del Norte
1606,2006,Best Banda Album,Más Allá Del Sol,Joan Sebástian
1607,2006,Best Traditional Blues Album,Risin' With The Blues,Ike Turner
1608,2006,Best Contemporary Blues Album,After The Rain,Irma Thomas
1609,2006,Best Traditional Folk Album,We Shall Overcome - The Seeger Sessions,Bruce Springsteen
1610,2006,Best Contemporary Folk/Americana Album,Modern Times,Bob Dylan
1611,2006,Best Native American Music Album,Dance With The Wind,Mary Youngblood
1612,2006,Best Hawaiian Music Album,Legends Of Hawaiian Slack Key Guitar - Live From Maui,(Various Artists)
1613,2006,Best Reggae Album,Love Is My Religion,Ziggy Marley
1614,2006,Best Traditional World Music Album,Blessed,Soweto Gospel Choir
1615,2006,Best Contemporary World Music Album,Wonder Wheel - Lyrics By Woody Guthrie,The Klezmatics
1616,2006,Best Polka Album,Polka In Paradise,Jimmy Sturr & His Orchestra
